# Radioactive Decay Count-Rate Log (simulated Geiger-Muller data)
# Source: Demo isotope, half-life ~83 s (simulated)
# Date: 2026-07-24   Sample_interval_s: 5   Background_cps: 8
# Columns: Time_s   Counts
#
0	4044
     5        3764
    10        3715
    15        3482
    20        3432
    25        3242
    30        3014
    35        2964
    40        2880
    45        2776
    50        2651
    55        2639
    60        2487
    65        2352
    70        2258
    75        2149
    80        2010
    85        2011
    90        1921
95	1866
   100        1783
   105        1617
   110        1588
   115        1577
   120        1490
   125        1390
   130        1433
   135        1308
   140        1254
   145        1158
   150        1151
   155        1205
   165        1043
   170         959
   175        1118
   180         899
   185         828
190	774
   200         721
   205         764
   210         719
   215         598
   220         632
   225         648
   230         578
   235         628
   240         553
   245         545
   250         517
   255         497
   260         489
   265         481
   270         447
   275         434
   280         422
285	369
   290         364
   295         333
   300         316
   305         333
   310         335
   315         311
   320         330
   325         246
   335         401
   340         256
   350         195
   355         226
   360         212
   365         184
   370         198
   375         177
380	172
   385         186
   390         158
   395         156
   400         162
   405         137
   410         137
   415         126
   420         128
   425         130
   430         116
   435         133
   440         120
   445         111
   450         110
   455         101
   460         105
   465          82
475	75
   480          85
   485          78
   490          85
   495          70
   500          57
   505          65
   510          52
   515          58
   520          48
   525          60
   530          48
   535          49
   540          53
   545          50
   550          48
   555          52
   560          49
   565          53
570	48
   575          37
   580          27
   585          40
   590          33
   595          40
   600          34
