Time,Temperature_C,Pressure_kPa,Voltage_V
09:46:00,18.86,101.2,5.013
09:17:00,25.17,100.69,
09:55:00,21.42,101.43,4.978
09:12:00,24.64,100.66,4.944
09:36:00,20.1,101.55,-12.0
09:22:00,23.36,101.5,5.044
09:05:00,,101520.0,5.069
09:27:00,22.49,101.55,--
09:11:00,24.57,101.22,4.947
09:32:00,20.72,101.66,4.977
09:24:00,24.01,101.49,5.082
09:30:00,21.25,102.2,4.946
09:43:00,19.09,101.39,5.038
09:04:00,23.22,101.4,5.023
09:34:00,19.83,101.31,4.903
09:08:00,23.96,101440.0,5.016
09:51:00,20.47,101.38,4.983
09:53:00,21.12,102.47,4.947
09:29:00,21.64,101.53,5.008
09:57:00,999.9,102.16,
09:44:00,18.29,100.41,5.053
09:15:00,24.41,100.97,4.948
09:14:00,24.6,101.08,4.937
09:49:00,19.94,100.78,4.993
09:10:00,24.67,100.63,4.985
09:26:00,,101.24,5.075
09:06:00,24.06,101.59,5.068
09:56:00,21.64,N/A,4.966
09:47:00,19.47,100.72,5.021
09:33:00,19.85,101.52,4.943
09:48:00,19.95,101.19,4.991
09:54:00,20.91,101.75,4.948
09:05:00,,101520.0,5.069
09:45:00,999.9,100.43,5.09
09:01:00,"22,08",102.05,5.047
09:35:00,"19,9",101.33,--
09:02:00,22.71,101.87,5.005
09:21:00,23.81,101.57,5.037
09:39:00,"19,74",100.67,5.056
09:16:00,24.97,N/A,4.984
09:25:00,23.04,101.54,4.996
09:13:00,24.88,100.9,4.977
09:38:00,,100.84,5.018
09:28:00,22.01,101.27,5.0
09:19:00,24.89,101.14,5.019
09:31:00,20.85,101.78,4.968
09:37:00,"19,77",100.82,5.013
09:52:00,20.43,101.4,4.949
09:50:00,19.49,101.65,4.947
09:40:00,18.39,100.77,5.033
09:42:00,19.4,101.36,5.062
09:09:00,"24,7",100.75,4.992
09:18:00,"24,65",100.75,4.982
09:20:00,24.26,101.22,5.024
09:00:00,21.82,102250.0,4.98
09:07:00,24.37,100.79,5.044
09:03:00,23.31,101.27,5.044
09:23:00,23.38,101.74,5.076
09:41:00,19.27,101.61,5.057
,,,
